origin	value	suppressed-origin	suppressed-value
ALT-targets(highest_CFD)	41	ALT-targets(fewest_mm+b)	34
ALT-targets(highest_CFD)	49	ALT-targets(fewest_mm+b)	41
ALT-targets(highest_CFD)	50	ALT-targets(fewest_mm+b)	48
ALT-targets(highest_CFD)	52	ALT-targets(fewest_mm+b)	42
ALT-targets(highest_CFD)	52	ALT-targets(fewest_mm+b)	34
ALT-targets(highest_CFD)	51	ALT-targets(fewest_mm+b)	52
ALT-targets(highest_CFD)	45	ALT-targets(fewest_mm+b)	44
ALT-targets(highest_CFD)	43	ALT-targets(fewest_mm+b)	56
ALT-targets(highest_CFD)	47	ALT-targets(fewest_mm+b)	30
ALT-targets(highest_CFD)	38	ALT-targets(fewest_mm+b)	47
ALT-targets(highest_CFD)	43	ALT-targets(fewest_mm+b)	38
ALT-targets(highest_CFD)	45	ALT-targets(fewest_mm+b)	28
ALT-targets(highest_CFD)	39	ALT-targets(fewest_mm+b)	38
ALT-cCREs(highest_CFD)	3	ALT-cCREs(fewest_mm+b)	2
ALT-cCREs(highest_CFD)	5	ALT-cCREs(fewest_mm+b)	14
ALT-cCREs(highest_CFD)	15	ALT-cCREs(fewest_mm+b)	34
ALT-cCREs(highest_CFD)	6	ALT-cCREs(fewest_mm+b)	30
ALT-cCREs(highest_CFD)	8	ALT-cCREs(fewest_mm+b)	24
ALT-cCREs(highest_CFD)	4	ALT-cCREs(fewest_mm+b)	7
ALT-cCREs(highest_CFD)	5	ALT-cCREs(fewest_mm+b)	19
ALT-cCREs(highest_CFD)	3	ALT-cCREs(fewest_mm+b)	8
ALT-cCREs(highest_CFD)	7	ALT-cCREs(fewest_mm+b)	25
ALT-cCREs(highest_CFD)	6	ALT-cCREs(fewest_mm+b)	29
ALT-cCREs(highest_CFD)	6	ALT-cCREs(fewest_mm+b)	11
ALT-cCREs(highest_CFD)	8	ALT-cCREs(fewest_mm+b)	8
ALT-cCREs(highest_CFD)	3	ALT-cCREs(fewest_mm+b)	17
ALT-CDS(highest_CFD)	1	ALT-CDS(fewest_mm+b)	1
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	1
ALT-CDS(highest_CFD)	7	ALT-CDS(fewest_mm+b)	3
ALT-CDS(highest_CFD)	2	ALT-CDS(fewest_mm+b)	6
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	0
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	1
ALT-CDS(highest_CFD)	1	ALT-CDS(fewest_mm+b)	2
ALT-CDS(highest_CFD)	1	ALT-CDS(fewest_mm+b)	0
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	2
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	0
ALT-CDS(highest_CFD)	2	ALT-CDS(fewest_mm+b)	0
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	1
ALT-CDS(highest_CFD)	0	ALT-CDS(fewest_mm+b)	0
